,location,price(L),rate_persqft,area_insqft,building_status,bhk,property_type
1398,Ghatkesar,54.47,4199,1297,Under Construction,2.0,Apartment
1399,Ghatkesar,46.58,4616,1009,Under Construction,2.0,Apartment
1400,Kollur,145.0,5999,2425,Under Construction,3.0,Apartment
1401,Kollur,113.0,5999,1900,Under Construction,3.0,Apartment
1402,Kollur,112.0,5999,1875,Under Construction,3.0,Apartment
1403,Kollur,83.98,5999,1400,Under Construction,3.0,Apartment
1404,Kollur,103.0,5499,1880,Under Construction,3.0,Apartment
1405,Kollur,76.16,5499,1385,Under Construction,2.0,Apartment
1406,Ghatkesar,54.47,4199,1297,Under Construction,2.0,Apartment
1407,Ghatkesar,46.58,4616,1009,Under Construction,2.0,Apartment
1408,Kollur,57.72,4499,1283,Under Construction,2.0,Apartment
1409,Kokapet,135.0,7803,1730,Under Construction,3.0,Apartment
1410,Puppalaguda,195.0,9069,2150,Under Construction,3.0,Apartment
1411,Kokapet,2000.0,45495,4396,Ready to move,4.0,Villa
1412,Kondapur,160.0,12336,1297,Ready to move,2.0,Apartment
1413,Kompally,55.2,5018,1100,Ready to move,2.0,Apartment
1414,Kompally,76.35,4925,1550,Ready to move,3.0,Apartment
1415,Dammaiguda,130.0,4814,2700,Ready to move,4.0,Independent House
1416,Other,89.4,5587,1600,Ready to move,3.0,Apartment
1417,Other,50.0,4000,1250,Ready to move,3.0,Apartment
1418,Other,86.0,5512,1560,Ready to move,3.0,Apartment
1419,Other,230.0,6969,3300,Ready to move,5.0,Independent House
1420,Bibinagar,12.49,1388,900,New,0.0,Residential Plot
1421,Maheshwaram,22.0,11000,200,New,0.0,Residential Plot
1422,Maheshwaram,22.0,11000,200,New,0.0,Residential Plot
1423,Maheshwaram,22.0,11000,200,New,0.0,Residential Plot
1424,Maheshwaram,22.0,11000,200,New,0.0,Residential Plot
1425,Maheshwaram,22.0,11000,200,New,0.0,Residential Plot
1426,Maheshwaram,22.0,11000,200,New,0.0,Residential Plot
1427,Maheshwaram,22.0,11000,200,New,0.0,Residential Plot
1428,Maheshwaram,22.0,11000,200,New,0.0,Residential Plot
1429,Maheshwaram,22.0,11000,200,New,0.0,Residential Plot
1430,Maheshwaram,22.0,11000,200,New,0.0,Residential Plot
1431,Maheshwaram,17.99,11999,150,New,0.0,Residential Plot
1432,Maheshwaram,22.0,11000,200,New,0.0,Residential Plot
1433,Maheshwaram,22.0,11000,200,New,0.0,Residential Plot
1434,Maheshwaram,22.0,11000,200,New,0.0,Residential Plot
1435,Maheshwaram,22.0,11000,200,New,0.0,Residential Plot
1436,Maheshwaram,22.0,11000,200,New,0.0,Residential Plot
1437,Attapur,123.0,6150,2011,Under Construction,3.0,Apartment
1438,Other,227.0,6150,3698,Under Construction,4.0,Apartment
1439,Other,936.0,22997,4070,Ready to move,4.0,Apartment
1440,Serilingampally,185.0,6981,2650,Ready to move,3.0,Apartment
1441,Sainikpuri,75.0,5514,1360,Ready to move,3.0,Apartment
1442,Other,125.0,4629,2700,Ready to move,4.0,Independent House
1443,Sainikpuri,220.00000000000003,6285,3500,Ready to move,5.0,Independent House
1444,Ghatkesar,25.99,1444,1800,New,0.0,Residential Plot
1445,Ghatkesar,23.39,1444,1620,New,0.0,Residential Plot
1446,Ghatkesar,21.7,1444,1503,New,0.0,Residential Plot
1447,Shadnagar,36.5,2027,1800,New,0.0,Residential Plot
1448,Maheshwaram,36.74,2444,1503,New,0.0,Residential Plot
1449,Maheshwaram,22.5,1666,1350,New,0.0,Residential Plot
1450,Maheshwaram,21.0,1555,1350,New,0.0,Residential Plot
1451,Shadnagar,14.03,1002,1400,New,0.0,Residential Plot
1452,Maheshwaram,36.74,2444,1503,New,0.0,Residential Plot
1453,Shadnagar,15.0,1111,1350,New,0.0,Residential Plot
1454,Sainikpuri,700.0,11965,5850,Resale,0.0,Residential Plot
1455,Tukkuguda,286.0,7516,3805,Under Construction,3.0,Villa
1456,Nallakunta,135.0,7454,1811,Ready to move,3.0,Apartment
1457,Nallakunta,220.00000000000003,5866,3750,Ready to move,5.0,Independent House
1458,Nallakunta,62.0,5865,1057,Ready to move,2.0,Apartment
1459,Himayat Nagar,210.0,10500,2000,Ready to move,3.0,Apartment
1460,Kokapet,80.4,6700,1200,Ready to move,2.0,Apartment
1461,Kokapet,109.0,6700,1630,Ready to move,3.0,Apartment
1462,Kokapet,109.0,6700,1630,Ready to move,3.0,Apartment
1463,Himayat Nagar,108.0,8000,1350,Ready to move,3.0,Apartment
1464,Bandlaguda Jagir,383.0,6399,6000,Under Construction,4.0,Apartment
1465,Gachibowli,574.0,11500,4999,Under Construction,4.0,Apartment
1466,Bhanur,179.0,5728,3140,Under Construction,4.0,Villa
1467,Other,200.0,7002,2856,Ready to move,4.0,Independent House
1468,Kokapet,140.0,8888,1575,Ready to move,3.0,Apartment
1469,Bandlaguda Jagir,319.0,6399,5000,Under Construction,4.0,Apartment
1470,Manchirevula,99.98,7999,1250,Under Construction,2.0,Apartment
1471,Other,64.56,5099,1266,Under Construction,3.0,Apartment
1472,Kukatpally,77.0,4277,1800,Under Construction,3.0,Apartment
1473,Kapra,150.0,5803,2600,Under Construction,3.0,Apartment
1474,Other,74.0,5920,1250,Ready to move,2.0,Apartment
1475,Sainikpuri,82.16,5183,1585,Under Construction,3.0,Apartment
1476,Other,106.0,5600,1900,Ready to move,3.0,Independent Floor
1477,Other,110.0,5789,1900,Ready to move,3.0,Apartment
